Id,PID,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,MasVnrArea,ExterQual,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,CentralAir,GrLivArea,BsmtFullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageCars,WoodDeckSF,ScreenPorch,GarageType_2Types,GarageType_Attchd,BsmtLivArea,MasVnrType_BrkFace,MSZoning_FV,LotConfig_CulDSac,LandContour_HLS,Heating_GasA,Condition,HouseStyle_1Story,RoofStyle_Hip,SaleType_COD,SaleType_New,SaleType_WD,Neighborhood_Blmngtn,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_Crawfor,Neighborhood_GrnHill,Neighborhood_MeadowV,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,MSSubClass_120,MSSubClass_150,MSSubClass_160,MSSubClass_180,RoofStyle_Othr,Foundation_Other,Exterior_BrkFace,Exterior_HdBoard,Exterior_Plywood,Exterior_WdSdng,SalePrice
109,533352170,57.0,13517,6,8,1976,289.0,3,2,2,1,725.0,1,1479,0.0,3,1,3,1,0,2.0,0,0,0,1,533.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.5,0.0,130500
544,531379050,43.0,11492,7,5,1996,132.0,3,3,2,1,913.0,1,2122,1.0,4,1,3,1,1,2.0,0,0,0,1,637.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,220000
153,535304180,68.0,7922,5,7,1953,0.0,2,2,2,1,1057.0,1,1057,1.0,3,1,3,1,0,1.0,0,0,0,0,731.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,109000
318,916386060,73.0,9802,5,5,2006,0.0,2,3,2,1,384.0,1,1444,0.0,3,1,2,1,0,2.0,100,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,174000
255,906425045,82.0,14235,6,8,1900,0.0,2,1,3,1,676.0,1,1445,0.0,3,1,2,1,0,2.0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,138500
138,535126040,137.0,16492,6,6,1966,0.0,3,2,2,1,1517.0,1,1888,0.0,2,1,3,0,1,2.0,0,0,0,1,960.0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.5,0.0,190000
2827,908186070,35.0,3675,6,5,2005,82.0,2,3,2,4,547.0,1,1072,1.0,2,1,2,1,0,2.0,0,0,0,0,547.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,140000
145,535154050,72.0,12160,5,5,1959,180.0,2,2,2,1,1188.0,1,1188,1.0,3,1,2,1,0,2.0,0,0,0,1,1000.0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,142000
1942,535353130,65.2,15783,5,5,1952,0.0,2,2,2,1,924.0,1,924,0.0,2,1,2,1,0,1.0,0,0,0,0,292.0,0,0,0,0,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,112500
1956,535426130,70.0,11606,5,5,1969,192.0,2,3,2,3,1040.0,1,2080,0.0,5,1,1,1,2,2.0,335,0,0,1,650.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,135000
1044,527451290,21.0,1680,6,5,1971,232.0,2,2,2,1,483.0,1,987,0.0,2,1,2,1,0,1.0,0,0,0,0,387.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,85400
2752,906380150,64.0,7488,7,5,2005,0.0,3,3,2,3,1208.0,1,1208,0.0,2,1,3,1,0,2.0,105,0,0,1,393.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,183600
807,906226060,120.0,26400,5,7,1880,0.0,3,0,0,0,0.0,1,2016,0.0,4,1,2,0,1,2.0,0,0,0,1,0.0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,131000
1177,533236070,24.0,2645,8,5,1999,456.0,3,3,2,1,960.0,1,1607,1.0,3,1,3,1,0,2.0,169,0,0,0,813.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,200000
1480,907418040,74.0,9627,7,5,2007,0.0,3,3,2,3,1351.0,1,1361,0.0,3,1,3,1,0,2.0,0,0,0,1,24.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,193000
324,923202105,93.0,10114,5,5,2004,0.0,2,4,2,3,1430.0,1,1430,0.0,3,1,3,1,0,2.0,0,0,0,1,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,173500
1311,902301140,34.0,4571,5,5,1916,0.0,2,2,2,1,624.0,0,1344,0.0,4,1,2,1,0,3.0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,98000
770,905101490,80.0,8816,5,6,1963,0.0,2,2,2,1,1121.0,1,1121,1.0,3,1,2,1,0,2.0,0,0,0,0,651.0,0,0,0,0,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,139000
2063,905107140,71.0,8197,6,5,1977,148.0,2,2,2,1,660.0,1,1285,0.0,3,1,2,1,1,2.0,138,0,0,1,0.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,143500
69,528458070,72.0,8640,7,5,2009,0.0,2,3,2,2,756.0,1,1547,0.0,3,1,3,1,0,2.0,169,0,0,1,24.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,215200
2062,905106150,109.0,8724,5,5,1968,0.0,2,3,2,1,894.0,1,894,0.0,3,1,2,1,1,2.0,0,0,0,1,492.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,129000
351,527131030,40.0,5664,8,5,2000,0.0,3,3,2,1,1501.0,1,1659,1.0,2,1,4,1,1,2.0,212,0,0,1,1158.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,278000
2393,528142010,103.0,12867,8,5,2005,0.0,3,4,2,3,1209.0,1,2253,0.0,3,1,4,1,1,2.0,243,0,0,1,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,344133
12,527165230,72.0,7980,6,7,1992,0.0,2,3,2,1,1168.0,1,1187,1.0,3,1,2,1,0,2.0,483,0,0,1,935.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,185000
2339,527250040,100.0,34650,5,5,1955,0.0,2,2,2,2,1056.0,0,1056,1.0,3,1,2,1,0,2.0,264,0,0,1,1056.0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,145000
624,535104120,92.0,10573,6,6,1961,3.0,2,2,2,1,1453.0,1,1453,1.0,3,1,2,1,1,2.0,0,288,0,1,1312.0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,187500
86,532376160,65.0,8450,5,8,1965,0.0,2,2,2,1,894.0,1,894,1.0,3,1,2,1,1,1.0,416,0,0,0,670.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,138500
1534,909277040,72.0,11700,5,6,1937,0.0,2,2,2,1,942.0,1,1938,0.0,4,1,3,0,1,1.0,0,0,0,0,606.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,198000
2243,911103060,75.0,8250,5,6,1895,0.0,2,2,2,1,957.0,0,1991,0.0,4,2,2,1,0,0.0,0,0,0,0,0.0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,119600
1957,535450190,60.0,8064,5,7,1949,0.0,2,2,2,2,672.0,1,924,0.0,3,1,2,1,1,2.0,0,0,0,0,0.0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,122900
380,527355150,80.0,9600,8,5,1981,0.0,3,3,2,1,2524.0,1,2524,1.0,4,1,3,1,1,2.0,474,0,0,1,1104.0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,278000
2860,909276010,93.7,11435,8,7,1929,0.0,2,3,2,1,792.0,1,1517,0.0,3,1,3,1,2,2.0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,230000
2517,533250130,30.0,9549,8,5,1995,0.0,3,3,3,3,1494.0,1,1494,1.0,2,1,4,1,1,2.0,0,216,0,1,1494.0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,270000
1933,535302070,60.0,10950,6,6,1952,0.0,2,2,2,1,948.0,1,948,0.0,2,1,2,1,0,2.0,0,0,0,0,441.0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,125000
820,906340110,79.0,10637,8,5,2007,336.0,3,4,2,4,1705.0,1,1718,1.0,3,1,3,1,1,3.0,208,0,0,1,1288.0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,297000
675,535426150,80.0,9000,6,6,1958,82.0,2,3,2,4,160.0,1,1142,0.0,2,1,2,1,1,1.0,0,0,0,0,0.0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,113500
2910,923225240,41.0,2665,5,6,1977,0.0,2,2,2,1,757.0,1,1475,0.0,4,1,2,1,1,1.0,104,0,0,1,721.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,127000
21,527358140,105.0,11751,6,6,1977,480.0,2,3,2,1,1844.0,1,1844,0.0,3,1,2,1,1,2.0,0,0,0,1,705.0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,190000
1873,534177210,80.0,9600,7,6,1973,320.0,2,2,2,1,1242.0,1,1242,0.0,3,1,2,1,1,2.0,0,0,0,1,916.0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,175500
2125,907135050,60.0,8428,5,7,1994,0.0,2,3,3,1,990.0,1,990,1.0,3,1,2,1,0,1.0,256,0,0,0,420.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,146000
1489,908102260,75.0,9937,5,6,1965,0.0,3,2,2,1,1256.0,1,1256,1.0,3,1,2,1,0,1.0,736,0,0,1,1120.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,147500
2383,528110050,107.0,13891,10,5,2006,0.0,4,4,3,4,2076.0,1,2076,1.0,2,1,4,1,1,3.0,216,0,0,1,1386.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,465000
983,923275040,93.7,9101,5,6,1978,104.0,2,3,2,3,1097.0,1,1110,1.0,1,1,3,1,1,2.0,303,0,0,1,1097.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,165500
1325,902406090,81.0,12150,5,5,1954,335.0,2,2,2,1,1050.0,0,1795,0.0,4,1,2,1,0,1.0,0,0,0,1,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,131500
1378,905102170,70.0,11200,5,5,1965,0.0,2,2,2,1,1040.0,1,1040,1.0,3,1,2,1,0,1.0,0,0,0,0,906.0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,129500
1537,909281110,100.0,9670,8,6,1935,40.0,2,2,1,1,608.0,1,1873,0.0,4,1,2,1,2,2.0,0,0,0,0,210.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,257076
905,909101140,60.0,10998,5,5,1941,0.0,2,2,2,1,984.0,1,1604,0.0,3,1,2,0,0,2.0,0,0,0,0,828.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,117000
1532,909275050,60.0,7200,7,6,1931,0.0,2,3,2,1,776.0,1,1502,0.0,3,1,2,1,1,1.0,0,0,0,1,0.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,149000
132,534475100,80.0,9920,5,5,1954,110.0,2,2,2,1,1056.0,1,1063,1.0,3,1,2,1,0,1.0,0,0,0,1,644.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,128000
1078,528188090,36.0,2448,7,5,2003,106.0,3,3,2,1,764.0,1,1626,0.0,2,1,3,1,0,2.0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,155000
2511,533221080,65.2,2998,6,5,2000,513.0,3,3,2,1,756.0,1,1524,0.0,2,1,3,1,0,2.0,0,0,0,0,353.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,166000
912,909250220,65.0,7804,4,3,1928,0.0,2,2,2,1,1122.0,1,1981,1.0,4,1,3,0,2,2.0,431,0,0,0,622.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,135000
2351,527356020,80.0,16692,7,5,1978,184.0,2,3,2,1,1392.0,1,2784,1.0,5,1,3,1,2,2.0,0,440,0,1,1259.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,250000
330,923226250,21.0,1476,4,7,1970,0.0,2,2,2,1,546.0,1,1092,0.0,3,1,2,1,0,0.0,200,0,0,0,176.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,76000
2586,535305120,75.0,10170,6,6,1951,522.0,2,2,2,1,216.0,1,1575,0.0,2,1,3,1,1,2.0,0,0,0,1,0.0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,155000
224,905106140,80.0,9364,6,7,1969,143.0,2,2,2,1,663.0,1,1352,0.0,4,1,2,1,0,1.0,379,0,0,1,371.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,158000
98,533212020,24.0,2544,7,5,2004,0.0,3,3,2,1,600.0,1,1200,1.0,2,1,3,1,0,2.0,0,0,0,0,410.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,149500
2565,534479300,82.0,9888,5,6,1954,0.0,2,2,2,1,936.0,1,936,0.0,2,1,2,1,0,1.0,0,0,0,1,486.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,121000
1934,535304170,68.0,7942,6,7,1953,0.0,2,2,2,1,1040.0,1,1040,0.0,3,1,2,1,0,1.0,0,0,0,1,1040.0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,136000
997,527107010,96.0,15038,6,5,1996,0.0,2,3,2,1,916.0,1,1636,0.0,3,1,2,1,1,2.0,168,0,0,1,138.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,173000
64,528382020,92.0,11764,8,7,1999,348.0,3,3,2,1,1152.0,1,2270,0.0,4,1,3,1,1,3.0,132,0,0,1,524.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,290000
1799,528458130,75.0,9000,8,5,2007,0.0,3,3,2,3,1184.0,1,2610,0.0,4,1,4,1,1,2.0,208,0,0,0,64.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,303477
230,905109170,72.0,20062,7,7,1977,0.0,3,3,2,4,1420.0,1,1483,1.0,1,1,2,1,2,2.0,496,0,0,1,1092.0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,270000
1295,902109160,81.0,7308,5,5,1920,0.0,1,2,2,1,936.0,0,1740,0.0,2,1,4,1,1,1.0,0,0,0,0,360.0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,122250
638,535178120,70.0,8750,5,5,1955,0.0,2,2,2,1,1382.0,1,1382,0.0,3,1,3,1,0,1.0,280,0,0,1,655.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,153000
2278,923202134,70.0,8402,5,5,2007,0.0,2,3,2,1,1120.0,1,1120,0.0,3,1,2,1,0,0.0,0,0,0,0,206.0,0,0,0,0,1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,147000
2202,909252150,63.0,4000,7,8,1930,0.0,2,3,2,1,531.0,1,1098,1.0,2,1,2,1,1,1.0,0,0,0,0,246.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,148500
2833,908188150,32.0,3363,7,5,2004,117.0,3,3,2,1,976.0,1,1708,0.0,3,1,3,-1,0,2.0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,130000
1707,528150040,94.0,13615,9,5,2006,510.0,4,4,2,4,1802.0,1,1802,0.0,3,1,4,1,1,3.0,158,0,0,1,0.0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,372000
2428,528228565,43.0,3013,7,5,2005,145.0,3,3,2,4,1362.0,1,1506,0.0,2,1,3,1,1,2.0,142,0,0,1,16.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,213490
242,905453080,44.0,17485,7,5,2009,96.0,3,3,2,4,1508.0,1,1508,1.0,1,1,3,1,2,2.0,0,0,0,1,1346.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,308030
1564,914453045,75.5,23730,7,5,1996,668.0,3,4,2,2,1840.0,1,2032,1.0,3,1,3,1,0,3.0,0,0,0,1,700.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,300000
2613,535403150,79.0,8910,6,6,1959,0.0,2,2,2,2,655.0,1,1194,0.0,3,1,2,1,1,2.0,0,0,0,0,655.0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,159500
2832,908188140,24.0,2522,7,5,2004,50.0,3,3,2,1,970.0,1,1709,0.0,3,1,3,-1,0,2.0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,137500
2459,528439030,73.0,8688,7,5,2005,228.0,3,3,2,3,1616.0,1,1616,0.0,3,1,3,1,0,3.0,208,0,0,1,0.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,232000
1360,903452025,72.0,6291,6,6,1930,0.0,3,2,2,1,768.0,1,768,0.0,1,1,2,1,0,2.0,0,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,93850
2723,905200380,65.2,17529,5,5,1924,65.0,2,2,2,1,872.0,0,872,0.0,2,1,1,0,1,1.0,0,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.5,105000
1350,903235100,60.0,6324,4,6,1927,0.0,2,2,2,1,520.0,0,520,0.0,1,1,1,1,0,1.0,49,0,0,0,0.0,0,0,0,0,1,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68500
136,535106190,80.0,11600,5,5,1960,361.0,2,2,2,1,1105.0,1,2274,0.0,5,2,2,1,0,2.0,0,0,0,0,443.0,1,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,154300
2235,910201050,50.0,7288,5,7,1925,0.0,3,2,-1,1,936.0,1,1601,0.0,3,1,2,1,0,0.0,0,0,0,0,0.0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,129850
1993,902301130,35.0,4571,5,7,1910,0.0,2,2,2,1,616.0,1,1232,0.0,3,1,2,1,0,2.0,280,0,0,0,168.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,114000
367,527214050,63.0,17423,9,5,2008,748.0,4,4,2,1,2216.0,1,2234,1.0,1,1,4,1,1,3.0,0,0,0,1,1904.0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,501837
1309,902300215,100.0,12665,5,8,1915,0.0,2,2,2,2,876.0,1,1416,0.0,4,1,2,1,1,3.0,418,0,0,0,0.0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,153900
402,527425110,60.0,9000,4,7,1971,0.0,2,2,2,1,864.0,1,864,0.0,3,1,2,1,0,2.0,200,0,0,0,240.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,130000
